* ID=Minilog-II-T
* Serial Number=353785
* Study ID=Melrose 2017 - 15m
* Start Time=2017-06-28 19:00:00
* Finish Time=2017-10-18 03:00:00
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2017-07-05,08:00:00,8.7
2017-07-05,09:00:00,8.79
2017-07-05,10:00:00,8.8
2017-07-05,11:00:00,8.72
2017-07-05,12:00:00,3.59
2017-07-05,13:00:00,3.63
2017-07-05,14:00:00,4.03
2017-07-05,15:00:00,4.87
2017-07-05,16:00:00,4.49
2017-07-05,17:00:00,8.79
2017-07-05,18:00:00,9.02
2017-07-05,19:00:00,9.07
2017-07-05,20:00:00,8.46
2017-07-05,21:00:00,5.1
2017-07-05,22:00:00,4.49
2017-07-05,23:00:00,2.12
2017-07-06,00:00:00,1.92
2017-07-06,01:00:00,1.97
2017-07-06,02:00:00,2.04
2017-07-06,03:00:00,2.38
2017-07-06,04:00:00,2.01
2017-07-06,05:00:00,2.33
2017-07-06,06:00:00,1.94
2017-07-06,07:00:00,2.13
2017-07-06,08:00:00,2.48
2017-07-06,09:00:00,2.13
2017-07-06,10:00:00,1.7
2017-07-06,11:00:00,2.02
2017-07-06,12:00:00,1.13
2017-07-06,13:00:00,0.99
2017-07-06,14:00:00,1.13
2017-07-06,15:00:00,1.01
2017-07-06,16:00:00,0.91
2017-07-06,17:00:00,0.72
2017-07-06,18:00:00,0.68
2017-07-06,19:00:00,0.56
2017-07-06,20:00:00,0.6
2017-07-06,21:00:00,0.62
2017-07-06,22:00:00,0.6
2017-07-06,23:00:00,0.56
2017-07-07,00:00:00,0.52
2017-07-07,01:00:00,0.44
2017-07-07,02:00:00,0.39
2017-07-07,03:00:00,0.26
2017-07-07,04:00:00,0.24
2017-07-07,05:00:00,0.23
2017-07-07,06:00:00,0.24
2017-07-07,07:00:00,0.22
2017-07-07,08:00:00,0.19
2017-07-07,09:00:00,0.16
2017-07-07,10:00:00,0.17
2017-07-07,11:00:00,0.22
2017-07-07,12:00:00,0.28
2017-07-07,13:00:00,0.8
2017-07-07,14:00:00,0.65
2017-07-07,15:00:00,0.59
2017-07-07,16:00:00,0.65
2017-07-07,17:00:00,0.71
2017-07-07,18:00:00,0.54
2017-07-07,19:00:00,0.45
2017-07-07,20:00:00,0.46
2017-07-07,21:00:00,1.03
2017-07-07,22:00:00,1.12
2017-07-07,23:00:00,1.12
2017-07-08,00:00:00,1.25
2017-07-08,01:00:00,1.27
2017-07-08,02:00:00,1.24
2017-07-08,03:00:00,1.21
2017-07-08,04:00:00,1.16
2017-07-08,05:00:00,1.18
2017-07-08,06:00:00,1.22
2017-07-08,07:00:00,1.36
2017-07-08,08:00:00,1.48
2017-07-08,09:00:00,1.49
2017-07-08,10:00:00,1.63
2017-07-08,11:00:00,1.95
2017-07-08,12:00:00,2.79
2017-07-08,13:00:00,4.39
2017-07-08,14:00:00,5.37
2017-07-08,15:00:00,5.59
2017-07-08,16:00:00,5.77
2017-07-08,17:00:00,4.88
2017-07-08,18:00:00,4.24
2017-07-08,19:00:00,4.68
2017-07-08,20:00:00,4.58
2017-07-08,21:00:00,2.6
2017-07-08,22:00:00,1.68
2017-07-08,23:00:00,1.23
2017-07-09,00:00:00,1.24
2017-07-09,01:00:00,0.83
2017-07-09,02:00:00,0.8
2017-07-09,03:00:00,0.76
2017-07-09,04:00:00,0.43
2017-07-09,05:00:00,0.22
2017-07-09,06:00:00,0.22
2017-07-09,07:00:00,0.21
2017-07-09,08:00:00,0.55
2017-07-09,09:00:00,0.74
2017-07-09,10:00:00,1.08
2017-07-09,11:00:00,1.36
2017-07-09,12:00:00,1.71
2017-07-09,13:00:00,1.86
2017-07-09,14:00:00,2.36
2017-07-09,15:00:00,2.87
2017-07-09,16:00:00,3.6
2017-07-09,17:00:00,3.61
2017-07-09,18:00:00,3.07
2017-07-09,19:00:00,2.02
2017-07-09,20:00:00,2.77
2017-07-09,21:00:00,2.95
2017-07-09,22:00:00,1.61
2017-07-09,23:00:00,1.17
2017-07-10,00:00:00,1.19
2017-07-10,01:00:00,0.9
2017-07-10,02:00:00,0.83
2017-07-10,03:00:00,0.61
2017-07-10,04:00:00,0.5
2017-07-10,05:00:00,0.42
2017-07-10,06:00:00,0.46
2017-07-10,07:00:00,0.43
2017-07-10,08:00:00,0.54
2017-07-10,09:00:00,0.5
2017-07-10,10:00:00,0.54
2017-07-10,11:00:00,0.75
2017-07-10,12:00:00,1.12
2017-07-10,13:00:00,1.63
2017-07-10,14:00:00,1.67
2017-07-10,15:00:00,1.8
2017-07-10,16:00:00,2.02
2017-07-10,17:00:00,2.03
2017-07-10,18:00:00,1.59
2017-07-10,19:00:00,1.52
2017-07-10,20:00:00,3.27
2017-07-10,21:00:00,3.12
2017-07-10,22:00:00,1.81
2017-07-10,23:00:00,0.76
2017-07-11,00:00:00,0.87
2017-07-11,01:00:00,0.84
2017-07-11,02:00:00,0.34
2017-07-11,03:00:00,0.45
2017-07-11,04:00:00,0.6
2017-07-11,05:00:00,0.47
