* ID=Minilog-II-T
* Serial Number=353783
* Study ID=Melrose 2018 (15m)
* Start Time=2018-06-15 14:27:52
* Finish Time=2018-10-10 11:27:52
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-06-22,03:27:52,2.09
2018-06-22,04:27:52,2.18
2018-06-22,05:27:52,2.47
2018-06-22,06:27:52,2.77
2018-06-22,07:27:52,2.94
2018-06-22,08:27:52,3.11
2018-06-22,09:27:52,3.24
2018-06-22,10:27:52,3.49
2018-06-22,11:27:52,3.55
2018-06-22,12:27:52,3.67
2018-06-22,13:27:52,3.76
2018-06-22,14:27:52,4.15
2018-06-22,15:27:52,4.33
2018-06-22,16:27:52,4.44
2018-06-22,17:27:52,4.56
2018-06-22,18:27:52,4.74
2018-06-22,19:27:52,4.76
2018-06-22,20:27:52,4.83
2018-06-22,21:27:52,4.86
2018-06-22,22:27:52,4.90
2018-06-22,23:27:52,4.91
2018-06-23,00:27:52,4.93
2018-06-23,01:27:52,5.01
2018-06-23,02:27:52,5.01
2018-06-23,03:27:52,5.01
2018-06-23,04:27:52,5.05
2018-06-23,05:27:52,5.10
2018-06-23,06:27:52,5.15
2018-06-23,07:27:52,5.17
2018-06-23,08:27:52,5.18
2018-06-23,09:27:52,5.20
2018-06-23,10:27:52,5.22
2018-06-23,11:27:52,5.22
2018-06-23,12:27:52,5.08
2018-06-23,13:27:52,4.52
2018-06-23,14:27:52,4.04
2018-06-23,15:27:52,3.67
2018-06-23,16:27:52,3.51
2018-06-23,17:27:52,3.36
2018-06-23,18:27:52,3.17
2018-06-23,19:27:52,2.93
2018-06-23,20:27:52,2.67
2018-06-23,21:27:52,2.46
2018-06-23,22:27:52,2.28
2018-06-23,23:27:52,2.00
2018-06-24,00:27:52,1.81
2018-06-24,01:27:52,1.48
2018-06-24,02:27:52,1.32
2018-06-24,03:27:52,1.27
2018-06-24,04:27:52,1.15
2018-06-24,05:27:52,1.08
2018-06-24,06:27:52,1.14
2018-06-24,07:27:52,1.20
