Filename,Instr,PrimOSens,SecOSens,PrimSOC,SecSOC
tel210_2020_001,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_003,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_004,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_005,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_006,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_007,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_008,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_009,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_010,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_011,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_012,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_013,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_014,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_015,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_016,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_017,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_018,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_019,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_020,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_021,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_022,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_023,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_024,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_025,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_026,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_027,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_028,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_029,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_030,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_031,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_032,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_033,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_034,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_035,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_045,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_046,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_047,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_048,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_049,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_050,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_051,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_052,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_053,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_054,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_055,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_056,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_057,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_058,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_074,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_077,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_081,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_082,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_083,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_084,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_085,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_086,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_087,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_088,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_089,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_090,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_091,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_092,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_093,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_094,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_095,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_100,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_101,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_102,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_103,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_104,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_105,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_106,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_107,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_108,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_109,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_110,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_111,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_137,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_138,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_139,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_140,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_141,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_142,,2549,2550,5.8726e-001,4.8174e-001,
tel210_2020_144,,2549,2550,5.8726e-001,4.8174e-001,
