

      Hugrun h.f.					06/12 2000


      Data recordings from MS-110SH no. 008969



      Measuring site   :  Stock Cove Sept Nov 2000




	  114.	  +13.40	05:00'00	16/09	2000
	  115.	  +13.50	06:00'00	16/09	2000
	  116.	  +13.20	07:00'00	16/09	2000
	  117.	  +13.35	08:00'00	16/09	2000
	  118.	  +13.30	09:00'00	16/09	2000
	  119.	  +13.30	10:00'00	16/09	2000
	  120.	  +13.35	11:00'00	16/09	2000
	  121.	  +13.40	12:00'00	16/09	2000
	  122.	  +13.40	13:00'00	16/09	2000
	  123.	  +13.45	14:00'00	16/09	2000
	  124.	  +13.50	15:00'00	16/09	2000
	  125.	  +13.55	16:00'00	16/09	2000
	  126.	  +13.50	17:00'00	16/09	2000
	  127.	  +13.60	18:00'00	16/09	2000
	  128.	  +13.45	19:00'00	16/09	2000
	  129.	  +13.40	20:00'00	16/09	2000
	  130.	  +13.30	21:00'00	16/09	2000
	  131.	  +13.25	22:00'00	16/09	2000
	  132.	  +13.20	23:00'00	16/09	2000
	  133.	  +12.95	00:00'00	17/09	2000
	  134.	  +12.95	01:00'00	17/09	2000
	  135.	  +13.00	02:00'00	17/09	2000
	  136.	  +13.05	03:00'00	17/09	2000
	  137.	  +13.25	04:00'00	17/09	2000
	  138.	  +13.25	05:00'00	17/09	2000
	  139.	  +13.20	06:00'00	17/09	2000
	  140.	  +13.05	07:00'00	17/09	2000
	  141.	  +13.05	08:00'00	17/09	2000
	  142.	  +13.00	09:00'00	17/09	2000
	  143.	  +12.90	10:00'00	17/09	2000
	  144.	  +12.80	11:00'00	17/09	2000
	  145.	  +12.70	12:00'00	17/09	2000
	  146.	  +12.60	13:00'00	17/09	2000
	  147.	  +12.45	14:00'00	17/09	2000
	  148.	  +12.70	15:00'00	17/09	2000
	  149.	  +12.70	16:00'00	17/09	2000
	  150.	  +12.65	17:00'00	17/09	2000
	  151.	  +12.60	18:00'00	17/09	2000
	  152.	  +12.60	19:00'00	17/09	2000
	  153.	  +12.45	20:00'00	17/09	2000
	  154.	  +12.20	21:00'00	17/09	2000
	  155.	  +12.45	22:00'00	17/09	2000
	  156.	  +12.55	23:00'00	17/09	2000
	  157.	  +12.90	00:00'00	18/09	2000
	  158.	  +12.85	01:00'00	18/09	2000
	  159.	  +12.90	02:00'00	18/09	2000
	  160.	  +12.90	03:00'00	18/09	2000
	  161.	  +12.80	04:00'00	18/09	2000
	  162.	  +12.65	05:00'00	18/09	2000
	  163.	  +12.45	06:00'00	18/09	2000
	  164.	  +12.55	07:00'00	18/09	2000
	  165.	  +12.65	08:00'00	18/09	2000
	  166.	  +12.70	09:00'00	18/09	2000
	  167.	  +12.65	10:00'00	18/09	2000
	  168.	  +12.85	11:00'00	18/09	2000
	  169.	  +12.90	12:00'00	18/09	2000
	  170.	  +12.60	13:00'00	18/09	2000
	  171.	  +12.45	14:00'00	18/09	2000
	  172.	  +12.15	15:00'00	18/09	2000
	  173.	  +11.85	16:00'00	18/09	2000
	  174.	  +11.85	17:00'00	18/09	2000
	  175.	  +11.80	18:00'00	18/09	2000
	  176.	  +11.20	19:00'00	18/09	2000
	  177.	  +11.50	20:00'00	18/09	2000
	  178.	  +10.90	21:00'00	18/09	2000
	  179.	  +10.95	22:00'00	18/09	2000
	  180.	  +11.15	23:00'00	18/09	2000
	  181.	  +11.00	00:00'00	19/09	2000
	  182.	  +11.20	01:00'00	19/09	2000
	  183.	  +11.90	02:00'00	19/09	2000
	  184.	  +12.65	03:00'00	19/09	2000
	  185.	  +12.60	04:00'00	19/09	2000
	  186.	  +12.60	05:00'00	19/09	2000
	  187.	  +12.75	06:00'00	19/09	2000
	  188.	  +12.65	07:00'00	19/09	2000
	  189.	  +12.65	08:00'00	19/09	2000
	  190.	  +12.50	09:00'00	19/09	2000
	  191.	  +12.25	10:00'00	19/09	2000
	  192.	  +11.55	11:00'00	19/09	2000
	  193.	  +11.60	12:00'00	19/09	2000
	  194.	  +11.60	13:00'00	19/09	2000
	  195.	  +11.35	14:00'00	19/09	2000
	  196.	  +11.60	15:00'00	19/09	2000
	  197.	  +12.55	16:00'00	19/09	2000
	  198.	  +12.50	17:00'00	19/09	2000
	  199.	  +12.45	18:00'00	19/09	2000
	  200.	  +12.50	19:00'00	19/09	2000
	  201.	  +12.85	20:00'00	19/09	2000
	  202.	  +12.75	21:00'00	19/09	2000
	  203.	  +12.90	22:00'00	19/09	2000
	  204.	  +12.80	23:00'00	19/09	2000
	  205.	  +13.20	00:00'00	20/09	2000
	  206.	  +12.95	01:00'00	20/09	2000
	  207.	  +12.90	02:00'00	20/09	2000
	  208.	  +13.05	03:00'00	20/09	2000
	  209.	  +13.10	04:00'00	20/09	2000
	  210.	  +13.10	05:00'00	20/09	2000
	  211.	  +13.00	06:00'00	20/09	2000
	  212.	  +13.00	07:00'00	20/09	2000
	  213.	  +13.05	08:00'00	20/09	2000
	  214.	  +12.90	09:00'00	20/09	2000
	  215.	  +12.85	10:00'00	20/09	2000
	  216.	  +13.00	11:00'00	20/09	2000
	  217.	  +12.90	12:00'00	20/09	2000
	  218.	  +13.00	13:00'00	20/09	2000
	  219.	  +12.95	14:00'00	20/09	2000
	  220.	  +13.05	15:00'00	20/09	2000
	  221.	  +13.20	16:00'00	20/09	2000
	  222.	  +13.30	17:00'00	20/09	2000
	  223.	  +13.35	18:00'00	20/09	2000
	  224.	  +13.25	19:00'00	20/09	2000
	  225.	  +13.30	20:00'00	20/09	2000
	  226.	  +13.30	21:00'00	20/09	2000
	  227.	  +13.35	22:00'00	20/09	2000
	  228.	  +13.40	23:00'00	20/09	2000
	  229.	  +13.45	00:00'00	21/09	2000
	  230.	  +13.50	01:00'00	21/09	2000
	  231.	  +13.35	02:00'00	21/09	2000
	  232.	  +13.45	03:00'00	21/09	2000
	  233.	  +13.20	04:00'00	21/09	2000
	  234.	  +13.25	05:00'00	21/09	2000
	  235.	  +13.15	06:00'00	21/09	2000
	  236.	  +13.10	07:00'00	21/09	2000
	  237.	  +13.15	08:00'00	21/09	2000
	  238.	  +13.00	09:00'00	21/09	2000
	  239.	  +13.05	10:00'00	21/09	2000
	  240.	  +13.05	11:00'00	21/09	2000
	  241.	  +13.15	12:00'00	21/09	2000
	  242.	  +13.10	13:00'00	21/09	2000
	  243.	  +13.00	14:00'00	21/09	2000
	  244.	  +12.85	15:00'00	21/09	2000
	  245.	  +12.95	16:00'00	21/09	2000
	  246.	  +12.95	17:00'00	21/09	2000
	  247.	  +13.00	18:00'00	21/09	2000
	  248.	  +13.00	19:00'00	21/09	2000
	  249.	  +13.10	20:00'00	21/09	2000
	  250.	  +13.10	21:00'00	21/09	2000
	  251.	  +13.05	22:00'00	21/09	2000
	  252.	  +13.00	23:00'00	21/09	2000
	  253.	  +12.95	00:00'00	22/09	2000
	  254.	  +12.90	01:00'00	22/09	2000
	  255.	  +12.95	02:00'00	22/09	2000
	  256.	  +13.00	03:00'00	22/09	2000
	  257.	  +12.95	04:00'00	22/09	2000
	  258.	  +12.95	05:00'00	22/09	2000
	  259.	  +12.90	06:00'00	22/09	2000
	  260.	  +12.90	07:00'00	22/09	2000
	  261.	  +13.10	08:00'00	22/09	2000
	  262.	  +12.95	09:00'00	22/09	2000
	  263.	  +13.00	10:00'00	22/09	2000
	  264.	  +12.85	11:00'00	22/09	2000
	  265.	  +12.70	12:00'00	22/09	2000
	  266.	  +13.00	13:00'00	22/09	2000
	  267.	  +13.10	14:00'00	22/09	2000
	  268.	  +12.55	15:00'00	22/09	2000
	  269.	  +12.60	16:00'00	22/09	2000
	  270.	  +12.70	17:00'00	22/09	2000
	  271.	  +12.25	18:00'00	22/09	2000
	  272.	  +12.40	19:00'00	22/09	2000
	  273.	  +12.35	20:00'00	22/09	2000
	  274.	  +12.40	21:00'00	22/09	2000
	  275.	  +12.40	22:00'00	22/09	2000
	  276.	  +12.45	23:00'00	22/09	2000
	  277.	  +13.00	00:00'00	23/09	2000
	  278.	  +12.90	01:00'00	23/09	2000
	  279.	  +12.75	02:00'00	23/09	2000
	  280.	  +13.20	03:00'00	23/09	2000
	  281.	  +13.20	04:00'00	23/09	2000
	  282.	  +13.20	05:00'00	23/09	2000
	  283.	  +13.15	06:00'00	23/09	2000
	  284.	  +13.15	07:00'00	23/09	2000
	  285.	  +12.95	08:00'00	23/09	2000
	  286.	  +12.95	09:00'00	23/09	2000
	  287.	  +13.00	10:00'00	23/09	2000
	  288.	  +12.90	11:00'00	23/09	2000
	  289.	  +12.95	12:00'00	23/09	2000
	  290.	  +13.00	13:00'00	23/09	2000
	  291.	  +12.85	14:00'00	23/09	2000
	  292.	  +12.70	15:00'00	23/09	2000
	  293.	  +12.40	16:00'00	23/09	2000
	  294.	  +12.75	17:00'00	23/09	2000
	  295.	  +12.90	18:00'00	23/09	2000
	  296.	  +13.15	19:00'00	23/09	2000
	  297.	  +13.15	20:00'00	23/09	2000
	  298.	  +13.20	21:00'00	23/09	2000
	  299.	  +13.30	22:00'00	23/09	2000
	  300.	  +13.20	23:00'00	23/09	2000
	  301.	  +13.20	00:00'00	24/09	2000
	  302.	  +13.15	01:00'00	24/09	2000
	  303.	  +13.10	02:00'00	24/09	2000
	  304.	  +13.15	03:00'00	24/09	2000
	  305.	  +13.15	04:00'00	24/09	2000
	  306.	  +13.10	05:00'00	24/09	2000
	  307.	  +13.15	06:00'00	24/09	2000
	  308.	  +13.15	07:00'00	24/09	2000
	  309.	  +13.00	08:00'00	24/09	2000
	  310.	  +13.10	09:00'00	24/09	2000
	  311.	  +12.75	10:00'00	24/09	2000
	  312.	  +12.80	11:00'00	24/09	2000
	  313.	  +12.85	12:00'00	24/09	2000
	  314.	  +12.90	13:00'00	24/09	2000
	  315.	  +12.90	14:00'00	24/09	2000
	  316.	  +12.90	15:00'00	24/09	2000
	  317.	  +12.90	16:00'00	24/09	2000
	  318.	  +12.85	17:00'00	24/09	2000
	  319.	  +12.75	18:00'00	24/09	2000
	  320.	  +12.65	19:00'00	24/09	2000
	  321.	  +12.55	20:00'00	24/09	2000
	  322.	  +12.55	21:00'00	24/09	2000
	  323.	  +12.55	22:00'00	24/09	2000
	  324.	  +12.60	23:00'00	24/09	2000
	  325.	  +12.70	00:00'00	25/09	2000
	  326.	  +12.65	01:00'00	25/09	2000
	  327.	  +12.55	02:00'00	25/09	2000
	  328.	  +12.45	03:00'00	25/09	2000
	  329.	  +12.50	04:00'00	25/09	2000
	  330.	  +12.35	05:00'00	25/09	2000
	  331.	  +12.25	06:00'00	25/09	2000
	  332.	  +12.20	07:00'00	25/09	2000
	  333.	  +12.25	08:00'00	25/09	2000
	  334.	  +12.30	09:00'00	25/09	2000
	  335.	  +12.35	10:00'00	25/09	2000
	  336.	  +12.35	11:00'00	25/09	2000
	  337.	  +12.15	12:00'00	25/09	2000
	  338.	  +11.95	13:00'00	25/09	2000
	  339.	  +12.05	14:00'00	25/09	2000
	  340.	  +12.15	15:00'00	25/09	2000
	  341.	  +12.25	16:00'00	25/09	2000
	  342.	  +12.40	17:00'00	25/09	2000
	  343.	  +12.45	18:00'00	25/09	2000
	  344.	  +12.20	19:00'00	25/09	2000
	  345.	  +12.40	20:00'00	25/09	2000
	  346.	  +12.50	21:00'00	25/09	2000
	  347.	  +12.50	22:00'00	25/09	2000
	  348.	  +12.50	23:00'00	25/09	2000
	  349.	  +12.50	00:00'00	26/09	2000
	  350.	  +12.55	01:00'00	26/09	2000
	  351.	  +12.50	02:00'00	26/09	2000
	  352.	  +12.60	03:00'00	26/09	2000
	  353.	  +12.55	04:00'00	26/09	2000
	  354.	  +12.65	05:00'00	26/09	2000
	  355.	  +12.70	06:00'00	26/09	2000
	  356.	  +12.45	07:00'00	26/09	2000
	  357.	  +12.45	08:00'00	26/09	2000
	  358.	  +12.50	09:00'00	26/09	2000
	  359.	  +12.45	10:00'00	26/09	2000
	  360.	  +12.45	11:00'00	26/09	2000
	  361.	  +12.45	12:00'00	26/09	2000
	  362.	  +12.45	13:00'00	26/09	2000
	  363.	  +12.45	14:00'00	26/09	2000
	  364.	  +12.45	15:00'00	26/09	2000
	  365.	  +12.45	16:00'00	26/09	2000
	  366.	  +12.40	17:00'00	26/09	2000
	  367.	  +12.35	18:00'00	26/09	2000
	  368.	  +12.30	19:00'00	26/09	2000
	  369.	  +12.25	20:00'00	26/09	2000
	  370.	  +12.25	21:00'00	26/09	2000
	  371.	  +12.35	22:00'00	26/09	2000
	  372.	  +12.30	23:00'00	26/09	2000
	  373.	  +12.30	00:00'00	27/09	2000
	  374.	  +12.30	01:00'00	27/09	2000
	  375.	  +12.35	02:00'00	27/09	2000
	  376.	  +12.40	03:00'00	27/09	2000
	  377.	  +12.40	04:00'00	27/09	2000
	  378.	  +12.30	05:00'00	27/09	2000
	  379.	  +12.30	06:00'00	27/09	2000
	  380.	  +12.20	07:00'00	27/09	2000
	  381.	  +12.20	08:00'00	27/09	2000
	  382.	  +12.20	09:00'00	27/09	2000
	  383.	  +12.15	10:00'00	27/09	2000
	  384.	  +12.10	11:00'00	27/09	2000
	  385.	  +12.20	12:00'00	27/09	2000
	  386.	  +12.10	13:00'00	27/09	2000
	  387.	  +12.20	14:00'00	27/09	2000
	  388.	  +12.15	15:00'00	27/09	2000
	  389.	  +12.15	16:00'00	27/09	2000
	  390.	  +12.20	17:00'00	27/09	2000
	  391.	  +12.20	18:00'00	27/09	2000
	  392.	  +12.20	19:00'00	27/09	2000
	  393.	  +12.20	20:00'00	27/09	2000
	  394.	  +12.15	21:00'00	27/09	2000
	  395.	  +12.30	22:00'00	27/09	2000
	  396.	  +12.35	23:00'00	27/09	2000
	  397.	  +12.35	00:00'00	28/09	2000
	  398.	  +12.35	01:00'00	28/09	2000
	  399.	  +12.30	02:00'00	28/09	2000
	  400.	  +12.35	03:00'00	28/09	2000
	  401.	  +12.35	04:00'00	28/09	2000
	  402.	  +12.30	05:00'00	28/09	2000
	  403.	  +12.30	06:00'00	28/09	2000
	  404.	  +12.35	07:00'00	28/09	2000
	  405.	  +12.35	08:00'00	28/09	2000
	  406.	  +12.30	09:00'00	28/09	2000
	  407.	  +12.30	10:00'00	28/09	2000
	  408.	  +12.30	11:00'00	28/09	2000
	  409.	  +12.30	12:00'00	28/09	2000
	  410.	  +12.30	13:00'00	28/09	2000
	  411.	  +12.35	14:00'00	28/09	2000
	  412.	  +12.35	15:00'00	28/09	2000
	  413.	  +12.35	16:00'00	28/09	2000
	  414.	  +12.40	17:00'00	28/09	2000
	  415.	  +12.40	18:00'00	28/09	2000
	  416.	  +12.40	19:00'00	28/09	2000
	  417.	  +12.35	20:00'00	28/09	2000
	  418.	  +12.45	21:00'00	28/09	2000
	  419.	  +12.40	22:00'00	28/09	2000
	  420.	  +12.15	23:00'00	28/09	2000
	  421.	  +12.40	00:00'00	29/09	2000
	  422.	  +12.45	01:00'00	29/09	2000
	  423.	  +12.70	02:00'00	29/09	2000
	  424.	  +12.85	03:00'00	29/09	2000
	  425.	  +12.80	04:00'00	29/09	2000
	  426.	  +12.70	05:00'00	29/09	2000
	  427.	  +12.60	06:00'00	29/09	2000
	  428.	  +12.60	07:00'00	29/09	2000
	  429.	  +12.45	08:00'00	29/09	2000
	  430.	  +12.45	09:00'00	29/09	2000
	  431.	  +12.45	10:00'00	29/09	2000
	  432.	  +12.45	11:00'00	29/09	2000
	  433.	  +12.45	12:00'00	29/09	2000
	  434.	  +12.55	13:00'00	29/09	2000
	  435.	  +12.50	14:00'00	29/09	2000
	  436.	  +12.50	15:00'00	29/09	2000
	  437.	  +12.45	16:00'00	29/09	2000
	  438.	  +12.45	17:00'00	29/09	2000
	  439.	  +12.45	18:00'00	29/09	2000
	  440.	  +12.30	19:00'00	29/09	2000
	  441.	  +12.35	20:00'00	29/09	2000
	  442.	  +12.35	21:00'00	29/09	2000
	  443.	  +12.40	22:00'00	29/09	2000
	  444.	  +12.30	23:00'00	29/09	2000
	  445.	  +12.30	00:00'00	30/09	2000
	  446.	  +12.25	01:00'00	30/09	2000
	  447.	  +12.20	02:00'00	30/09	2000
	  448.	  +12.25	03:00'00	30/09	2000
	  449.	  +12.15	04:00'00	30/09	2000
	  450.	  +12.15	05:00'00	30/09	2000
	  451.	  +12.15	06:00'00	30/09	2000
	  452.	  +12.15	07:00'00	30/09	2000
	  453.	  +12.15	08:00'00	30/09	2000
	  454.	  +12.15	09:00'00	30/09	2000
