Filename,Instr,PrimOSens,SecOSens,PrimSOC,SecSOC
20118001,1221,3539,3313,4.5760e-001,4.3880e-001,
20118010,1221,3539,3313,4.5760e-001,4.3880e-001,
20118013,1221,3539,3313,4.5760e-001,4.3880e-001,
20118014,1221,3539,3313,4.5760e-001,4.3880e-001,
20118015,1221,3539,3313,4.5760e-001,4.3880e-001,
20118016,1221,3539,3313,4.5760e-001,4.3880e-001,
20118017,1221,3539,3313,4.5760e-001,4.3880e-001,
20118018,1221,3539,3313,4.5760e-001,4.3880e-001,
20118023,1221,3539,3313,4.5760e-001,4.3880e-001,
20118024,1221,3539,3313,4.5760e-001,4.3880e-001,
20118028,1221,3539,3313,4.5760e-001,4.3880e-001,
20118029,1221,3539,3313,4.5760e-001,4.3880e-001,
20118030,1221,3539,3313,4.5760e-001,4.3880e-001,
20118031,1221,3539,3313,4.5760e-001,4.3880e-001,
20118032,1221,3539,3313,4.5760e-001,4.3880e-001,
20118033,1221,3539,3313,4.5760e-001,4.3880e-001,
20118034,1221,3539,3313,4.5760e-001,4.3880e-001,
20118035,1221,3539,3313,4.5760e-001,4.3880e-001,
20118036,1221,3539,3313,4.5760e-001,4.3880e-001,
20118037,1221,3539,3313,4.5760e-001,4.3880e-001,
20118038,1221,3539,3313,4.5760e-001,4.3880e-001,
20118039,1221,3539,3313,4.5760e-001,4.3880e-001,
20118040,1221,3539,3313,4.5760e-001,4.3880e-001,
20118041,1221,3539,3313,4.5760e-001,4.3880e-001,
20118042,1221,3539,3313,4.5760e-001,4.3880e-001,
20118043,1221,3539,3313,4.5760e-001,4.3880e-001,
20118044,1221,3539,3313,4.5760e-001,4.3880e-001,
20118045,1221,3539,3313,4.5760e-001,4.3880e-001,
20118046,1221,3539,3313,4.5760e-001,4.3880e-001,
20118047,1221,3539,3313,4.5760e-001,4.3880e-001,
20118048,1221,3539,3313,4.5760e-001,4.3880e-001,
20118060,1221,3539,3313,4.5760e-001,4.3880e-001,
20118061,1221,3539,3313,4.5760e-001,4.3880e-001,
20118062,1221,3539,3313,4.5760e-001,4.3880e-001,
20118063,1221,3539,3313,4.5760e-001,4.3880e-001,
20118064,1221,3539,3313,4.5760e-001,4.3880e-001,
