* ID=Minilog-II-T
* Serial Number=350863
* Study ID=Winterton 2018
* Start Time=2018-05-23 10:22:30
* Finish Time=2018-10-12 15:22:30
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-05-09,23:22:30,1.57
2018-05-10,00:22:30,1.54
2018-05-10,01:22:30,1.56
2018-05-10,02:22:30,1.60
2018-05-10,03:22:30,1.57
2018-05-10,04:22:30,1.57
2018-05-10,05:22:30,1.51
2018-05-10,06:22:30,1.48
2018-05-10,07:22:30,1.46
2018-05-10,08:22:30,1.40
2018-05-10,09:22:30,1.53
2018-05-10,10:22:30,1.49
2018-05-10,11:22:30,1.72
2018-05-10,12:22:30,1.79
2018-05-10,13:22:30,1.83
2018-05-10,14:22:30,1.56
2018-05-10,15:22:30,1.32
2018-05-10,16:22:30,1.32
2018-05-10,17:22:30,1.29
2018-05-10,18:22:30,1.28
2018-05-10,19:22:30,1.35
2018-05-10,20:22:30,1.34
2018-05-10,21:22:30,2.23
2018-05-10,22:22:30,1.43
2018-05-10,23:22:30,1.46
2018-05-11,00:22:30,1.48
2018-05-11,01:22:30,1.53
2018-05-11,02:22:30,1.50
2018-05-11,03:22:30,1.67
2018-05-11,04:22:30,1.58
2018-05-11,05:22:30,2.18
2018-05-11,06:22:30,2.27
2018-05-11,07:22:30,2.21
2018-05-11,08:22:30,2.16
2018-05-11,09:22:30,2.05
2018-05-11,10:22:30,1.93
2018-05-11,11:22:30,1.95
2018-05-11,12:22:30,2.17
2018-05-11,13:22:30,2.25
2018-05-11,14:22:30,2.34
2018-05-11,15:22:30,2.41
2018-05-11,16:22:30,2.51
2018-05-11,17:22:30,2.51
2018-05-11,18:22:30,2.53
2018-05-11,19:22:30,2.53
2018-05-11,20:22:30,2.56
2018-05-11,21:22:30,2.51
2018-05-11,22:22:30,2.25
2018-05-11,23:22:30,2.16
2018-05-12,00:22:30,2.20
2018-05-12,01:22:30,2.38
2018-05-12,02:22:30,2.32
2018-05-12,03:22:30,2.37
2018-05-12,04:22:30,2.52
2018-05-12,05:22:30,2.51
2018-05-12,06:22:30,2.52
2018-05-12,07:22:30,2.46
2018-05-12,08:22:30,2.44
2018-05-12,09:22:30,2.49
2018-05-12,10:22:30,2.55
2018-05-12,11:22:30,2.56
2018-05-12,12:22:30,2.56
2018-05-12,13:22:30,2.61
2018-05-12,14:22:30,2.64
2018-05-12,15:22:30,2.66
2018-05-12,16:22:30,2.09
2018-05-12,17:22:30,2.04
2018-05-12,18:22:30,1.57
2018-05-12,19:22:30,1.89
2018-05-12,20:22:30,2.15
2018-05-12,21:22:30,1.99
2018-05-12,22:22:30,1.54
2018-05-12,23:22:30,1.59
2018-05-13,00:22:30,1.36
2018-05-13,01:22:30,1.26
2018-05-13,02:22:30,1.30
2018-05-13,03:22:30,1.36
2018-05-13,04:22:30,1.48
2018-05-13,05:22:30,1.73
2018-05-13,06:22:30,1.60
2018-05-13,07:22:30,1.68
2018-05-13,08:22:30,1.62
2018-05-13,09:22:30,1.49
2018-05-13,10:22:30,1.55
2018-05-13,11:22:30,1.94
2018-05-13,12:22:30,1.73
2018-05-13,13:22:30,1.92
