Filename,Instr,PrimOSens,SecOSens,PrimSOC,SecSOC
39200001,1221,3313,3539,4.3390e-001,4.6370e-001,
39200003,1221,3313,3539,4.3390e-001,4.6370e-001,
39200004,1221,3313,3539,4.3390e-001,4.6370e-001,
39200005,1221,3313,3539,4.3390e-001,4.6370e-001,
39200006,1221,3313,3539,4.3390e-001,4.6370e-001,
39200007,1221,3313,3539,4.3390e-001,4.6370e-001,
39200008,1221,3313,3539,4.3390e-001,4.6370e-001,
39200009,1221,3313,3539,4.3390e-001,4.6370e-001,
39200010,1221,3313,3539,4.3390e-001,4.6370e-001,
39200011,1221,3313,3539,4.3390e-001,4.6370e-001,
39200012,1221,3313,3539,4.3390e-001,4.6370e-001,
39200013,1221,3313,3539,4.3390e-001,4.6370e-001,
39200014,1221,3313,3539,4.3390e-001,4.6370e-001,
39200015,1221,3313,3539,4.3390e-001,4.6370e-001,
39200016,1221,3313,3539,4.3390e-001,4.6370e-001,
39200017,1221,3313,3539,4.3390e-001,4.6370e-001,
39200018,1221,3313,3539,4.3390e-001,4.6370e-001,
39200019,1221,3313,3539,4.3390e-001,4.6370e-001,
39200020,1221,3313,3539,4.3390e-001,4.6370e-001,
39200021,1221,3313,3539,4.3390e-001,4.6370e-001,
39200022,1221,3313,3539,4.3390e-001,4.6370e-001,
39200023,1221,3313,3539,4.3390e-001,4.6370e-001,
39200024,1221,3313,3539,4.3390e-001,4.6370e-001,
39200025,1221,3313,3539,4.3390e-001,4.6370e-001,
39200026,1221,3313,3539,4.3390e-001,4.6370e-001,
39200027,1221,3313,3539,4.3390e-001,4.6370e-001,
39200028,1221,3313,3539,4.3390e-001,4.6370e-001,
39200029,1221,3313,3539,4.3390e-001,4.6370e-001,
39200030,1221,3313,3539,4.3390e-001,4.6370e-001,
39200031,1221,3313,3539,4.3390e-001,4.6370e-001,
39200032,1221,3313,3539,4.3390e-001,4.6370e-001,
39200033,1221,3313,3539,4.3390e-001,4.6370e-001,
39200034,1221,3313,3539,4.3390e-001,4.6370e-001,
39200035,1221,3313,3539,4.3390e-001,4.6370e-001,
39200045,1221,3313,3539,4.3390e-001,4.6370e-001,
39200046,1221,3313,3539,4.3390e-001,4.6370e-001,
39200047,1221,3313,3539,4.3390e-001,4.6370e-001,
39200048,1221,3313,3539,4.3390e-001,4.6370e-001,
39200049,1221,3313,3539,4.3390e-001,4.6370e-001,
39200050,1221,3313,3539,4.3390e-001,4.6370e-001,
39200051,1221,3313,3539,4.3390e-001,4.6370e-001,
39200052,1221,3313,3539,4.3390e-001,4.6370e-001,
39200053,1221,3313,3539,4.3390e-001,4.6370e-001,
39200054,1221,3313,3539,4.3390e-001,4.6370e-001,
39200055,1221,3313,3539,4.3390e-001,4.6370e-001,
39200056,1221,3313,3539,4.3390e-001,4.6370e-001,
39200057,1221,3313,3539,4.3390e-001,4.6370e-001,
39200058,1221,3313,3539,4.3390e-001,4.6370e-001,
39200078,1221,3313,3539,4.3390e-001,4.6370e-001,
39200079,1221,3313,3539,4.3390e-001,4.6370e-001,
39200080,1221,3313,3539,4.3390e-001,4.6370e-001,
39200081,1221,3313,3539,4.3390e-001,4.6370e-001,
39200082,1221,3313,3539,4.3390e-001,4.6370e-001,
39200083,1221,3313,3539,4.3390e-001,4.6370e-001,
39200084,1221,3313,3539,4.3390e-001,4.6370e-001,
39200085,1221,3313,3539,4.3390e-001,4.6370e-001,
39200086,1221,3313,3539,4.3390e-001,4.6370e-001,
39200087,1221,3313,3539,4.3390e-001,4.6370e-001,
39200088,1221,3313,3539,4.3390e-001,4.6370e-001,
39200089,1221,3313,3539,4.3390e-001,4.6370e-001,
39200098,1221,3313,3539,4.3390e-001,4.6370e-001,
39200099,1221,3313,3539,4.3390e-001,4.6370e-001,
39200100,1221,3313,3539,4.3390e-001,4.6370e-001,
39200101,1221,3313,3539,4.3390e-001,4.6370e-001,
39200102,1221,3313,3539,4.3390e-001,4.6370e-001,
39200103,1221,3313,3539,4.3390e-001,4.6370e-001,
39200104,1221,3313,3539,4.3390e-001,4.6370e-001,
39200105,1221,3313,3539,4.3390e-001,4.6370e-001,
39200106,1221,3313,3539,4.3390e-001,4.6370e-001,
39200107,1221,3313,3539,4.3390e-001,4.6370e-001,
39200108,1221,3313,3539,4.3390e-001,4.6370e-001,
39200109,1221,3313,3539,4.3390e-001,4.6370e-001,
39200110,1221,3313,3539,4.3390e-001,4.6370e-001,
39200111,1221,3313,3539,4.3390e-001,4.6370e-001,
39200126,1221,3313,3539,4.3390e-001,4.6370e-001,
39200127,1221,3313,3539,4.3390e-001,4.6370e-001,
39200128,1221,3313,3539,4.3390e-001,4.6370e-001,
39200129,1221,3313,3539,4.3390e-001,4.6370e-001,
39200130,1221,3313,3539,4.3390e-001,4.6370e-001,
39200131,1221,3313,3539,4.3390e-001,4.6370e-001,
39200132,1221,3313,3539,4.3390e-001,4.6370e-001,
39200133,1221,3313,3539,4.3390e-001,4.6370e-001,
39200134,1221,3313,3539,4.3390e-001,4.6370e-001,
39200135,1221,3313,3539,4.3390e-001,4.6370e-001,
39200136,1221,3313,3539,4.3390e-001,4.6370e-001,
39200142,1221,3313,3539,4.3390e-001,4.6370e-001,
